,회사명,종목코드,업종
271,진코스텍,250030,기타 화학제품 제조업
272,큐엠씨,136660,특수 목적용 기계 제조업
273,티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업"
274,폭스소프트,354230,소프트웨어 개발 및 공급업
275,CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업"
276,CJ제일제당,097950,기타 식품 제조업
277,HDC현대EP,089470,기타 화학제품 제조업
278,JW홀딩스,096760,기타 금융업
279,KB금융,105560,기타 금융업
280,KC코트렐,119650,일반 목적용 기계 제조업
281,KPX케미칼,025000,기초 화학물질 제조업
282,SG충방,001380,자동차 신품 부품 제조업
283,금강공업,014280,1차 철강 제조업
284,금호산업,002990,건물 건설업
285,금호전기,001210,전구 및 조명장치 제조업
286,기업은행,024110,은행 및 저축기관
287,남성,004270,기타 전문 도매업
288,넷마블,251270,소프트웨어 개발 및 공급업
289,대구백화점,006370,종합 소매업
290,대우건설,047040,건물 건설업
291,대원제약,003220,의약품 제조업
292,대한방직,001070,직물직조 및 직물제품 제조업
293,대한제당,001790,"곡물가공품, 전분 및 전분제품 제조업"
294,대한해운,005880,해상 운송업
295,덕양산업,024900,자동차 신품 부품 제조업
296,동원F&B,049770,기타 식품 제조업
297,동원금속,018500,자동차 신품 부품 제조업
298,두산인프라코어,042670,특수 목적용 기계 제조업
299,디씨엠,024090,1차 철강 제조업
300,디티알오토모티브,007340,일차전지 및 축전지 제조업
301,롯데손해보험,000400,보험업
302,롯데제과,280360,기타 식품 제조업
303,롯데칠성음료,005300,비알코올음료 및 얼음 제조업
304,롯데케미칼,011170,기초 화학물질 제조업
305,롯데하이마트,071840,가전제품 및 정보통신장비 소매업
306,미원홀딩스,107590,기타 금융업
307,백산,035150,플라스틱제품 제조업
308,보락,002760,기타 화학제품 제조업
309,사조대림,003960,수산물 가공 및 저장 처리업
310,사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업"
311,삼양식품,003230,기타 식품 제조업
312,서원,021050,금속 주조업
313,세방,004360,도로 화물 운송업
314,세아홀딩스,058650,1차 철강 제조업
315,세이브존I&C,067830,종합 소매업
316,신송홀딩스,006880,산업용 농·축산물 및 동·식물 도매업
317,신일전자,002700,기계장비 및 관련 물품 도매업
318,신풍제약,019170,의약품 제조업
319,써니전자,004770,반도체 제조업
320,아이마켓코리아,122900,상품 종합 도매업
321,아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업"
322,엔씨소프트,036570,소프트웨어 개발 및 공급업
323,영보화학,014440,플라스틱제품 제조업
324,영진약품,003520,의약품 제조업
325,영풍,000670,1차 비철금속 제조업
326,우리금융캐피탈,033660,기타 금융업
327,유니온머티리얼,047400,"내화, 비내화 요업제품 제조업"
328,유유제약,000220,의약품 제조업
329,유한양행,000100,의약품 제조업
330,이마트,139480,종합 소매업
331,이수화학,005950,기초 화학물질 제조업
332,이스타코,015020,부동산 임대 및 공급업
333,인천도시가스,034590,연료용 가스 제조 및 배관공급업
334,일정실업,008500,편조원단 제조업
335,종근당홀딩스,001630,의약품 제조업
336,지엠비코리아,013870,자동차 신품 부품 제조업
337,진원생명과학,011000,의약품 제조업
338,컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업"
339,케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
340,코리아써키트,007810,전자부품 제조업
341,코스모화학,005420,기타 화학제품 제조업
342,코아스,071950,가구 제조업
343,코오롱플라스틱,138490,합성고무 및 플라스틱 물질 제조업
344,쿠쿠홀딩스,192400,기타 금융업
345,큐로,015590,일반 목적용 기계 제조업
346,티비에이치글로벌,084870,봉제의복 제조업
347,포스코강판,058430,1차 철강 제조업
348,포스코케미칼,003670,"내화, 비내화 요업제품 제조업"
349,하이트론씨스템즈,019490,영상 및 음향기기 제조업
350,한국금융지주,071050,기타 금융업
351,한국전자홀딩스,006200,기타 금융업
352,한국타이어앤테크놀로지,161390,고무제품 제조업
353,한국토지신탁,034830,신탁업 및 집합투자업
354,한국특수형강,007280,1차 철강 제조업
355,한온시스템,018880,일반 목적용 기계 제조업
356,한화솔루션,009830,기초 화학물질 제조업
357,해태제과식품,101530,기타 식품 제조업
358,현대에너지솔루션,322000,반도체 제조업
359,현대위아,011210,자동차 신품 부품 제조업
