,회사명,종목코드,업종
540,파수,150900,소프트웨어 개발 및 공급업
541,파인디지털,038950,통신 및 방송 장비 제조업
542,팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업"
543,펌텍코리아,251970,플라스틱제품 제조업
544,풍강,093380,기타 금속 가공제품 제조업
545,플레이디,237820,광고업
546,피앤이솔루션,131390,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
547,피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
548,피엔티,137400,특수 목적용 기계 제조업
549,핌스,347770,전자부품 제조업
550,핑거,163730,소프트웨어 개발 및 공급업
551,하나금융17호스팩,363260,금융 지원 서비스업
552,하나마이크론,067310,반도체 제조업
553,한국경제TV,039340,텔레비전 방송업
554,한국기업평가,034950,기타 사업지원 서비스업
555,한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업
556,한국비엔씨,256840,기초 의약물질 및 생물학적 제제 제조업
557,한국아트라스비엑스,023890,일차전지 및 축전지 제조업
558,한국알콜,017890,기타 화학제품 제조업
559,한국전자금융,063570,금융 지원 서비스업
560,한국정보인증,053300,소프트웨어 개발 및 공급업
561,한국정보통신,025770,전기 통신업
562,한국팩키지,037230,"골판지, 종이 상자 및 종이용기 제조업"
563,한글과컴퓨터,030520,소프트웨어 개발 및 공급업
564,한일단조,024740,자동차 신품 부품 제조업
565,한컴위드,054920,소프트웨어 개발 및 공급업
566,한탑,002680,"곡물가공품, 전분 및 전분제품 제조업"
567,현진소재,053660,기타 금속 가공제품 제조업
568,형지I&C,011080,봉제의복 제조업
569,휴네시온,290270,소프트웨어 개발 및 공급업
570,휴맥스홀딩스,028080,기타 금융업
571,흥국에프엔비,189980,비알코올음료 및 얼음 제조업
572,구스앤홈,329050,직물직조 및 직물제품 제조업
573,노드메이슨,317860,기타 화학제품 제조업
574,대주이엔티,114920,1차 철강 제조업
575,디피코,163430,"건축기술, 엔지니어링 및 관련 기술 서비스업"
576,래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업"
577,메디안디노스틱,233250,의료용품 및 기타 의약 관련제품 제조업
578,바이오시네틱스,281310,자연과학 및 공학 연구개발업
579,바이옵트로,222160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
580,비플라이소프트,148780,소프트웨어 개발 및 공급업
581,앙츠,267810,컴퓨터 및 통신장비 수리업
582,에이치엔에스하이텍,044990,전자부품 제조업
583,오션스톤,329020,음·식료품 및 담배 도매업
584,이노벡스,279060,전자부품 제조업
585,테크엔,308700,전구 및 조명장치 제조업
586,테크트랜스,258050,기타 금속 가공제품 제조업
587,티케이씨,191600,전자부품 제조업
588,틸론,217880,소프트웨어 개발 및 공급업
589,휴럼,284420,기타 식품 제조업
590,BGF리테일,282330,종합 소매업
591,BNK금융지주,138930,기타 금융업
592,DRB동일,004840,기타 금융업
593,GS건설,006360,건물 건설업
594,HDC아이콘트롤스,039570,전기 및 통신 공사업
595,KTis,058860,기타 정보 서비스업
596,LG상사,001120,상품 중개업
597,MH에탄올,023150,알코올음료 제조업
598,SBS,034120,텔레비전 방송업
599,SBS미디어홀딩스,101060,텔레비전 방송업
600,SK텔레콤,017670,전기 통신업
601,강원랜드,035250,유원지 및 기타 오락관련 서비스업
602,교보증권,030610,금융 지원 서비스업
603,국제약품,002720,의약품 제조업
604,금양,001570,기초 화학물질 제조업
605,넥센타이어,002350,고무제품 제조업
606,녹십자홀딩스,005250,회사 본부 및 경영 컨설팅 서비스업
607,농심홀딩스,072710,기타 금융업
608,다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업"
609,대교,019680,초등 교육기관
610,대림건설,001880,건물 건설업
611,대웅제약,069620,의약품 제조업
612,더존비즈온,012510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
613,동방아그로,007590,"비료, 농약 및 살균, 살충제 제조업"
614,동서,026960,음·식료품 및 담배 도매업
615,동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업
616,동아쏘시오홀딩스,000640,기타 금융업
617,동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업"
618,동양생명,082640,보험업
619,동원산업,006040,어로 어업
620,디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
621,디와이,013570,기타 금융업
622,디피씨,026890,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
623,롯데정밀화학,004000,기초 화학물질 제조업
624,롯데푸드,002270,낙농제품 및 식용빙과류 제조업
625,맥쿼리인프라,088980,신탁업 및 집합투자업
626,메타랩스,090370,봉제의복 제조업
627,명문제약,017180,의약품 제조업
628,모토닉,009680,자동차 신품 부품 제조업
629,미래에셋맵스리츠,357250,부동산 임대 및 공급업
630,미원화학,134380,기타 화학제품 제조업
631,범양건영,002410,건물 건설업
632,베트남개발1,096300,신탁업 및 집합투자업
633,빙그레,005180,낙농제품 및 식용빙과류 제조업
634,삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업
635,삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
636,삼성증권,016360,금융 지원 서비스업
637,삼성카드,029780,기타 금융업
638,삼양통상,002170,"가죽, 가방 및 유사제품 제조업"
639,삼영무역,002810,기타 전문 도매업
640,삼정펄프,009770,"펄프, 종이 및 판지 제조업"
641,샘표식품,248170,기타 식품 제조업
642,서연이화,200880,자동차 신품 부품 제조업
643,성보화학,003080,"비료, 농약 및 살균, 살충제 제조업"
644,세아제강,306200,1차 철강 제조업
645,센트랄모텍,308170,자동차 신품 부품 제조업
646,센트럴인사이트,012600,일반 목적용 기계 제조업
647,솔루스첨단소재,336370,전자부품 제조업
648,송원산업,004430,기타 화학제품 제조업
649,신성이엔지,011930,반도체 제조업
650,신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업"
651,신세계푸드,031440,음식점업
652,신화실업,001770,1차 철강 제조업
653,씨아이테크,004920,그외 기타 제품 제조업
654,아모레퍼시픽그룹,002790,기타 화학제품 제조업
655,아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업"
656,애경산업,018250,기타 화학제품 제조업
657,에이플러스에셋,244920,보험 및 연금관련 서비스업
658,엔에이치엔,181710,소프트웨어 개발 및 공급업
659,유니켐,011330,"가죽, 가방 및 유사제품 제조업"
660,유양디앤유,011690,반도체 제조업
661,유화증권,003460,금융 지원 서비스업
662,이월드,084680,유원지 및 기타 오락관련 서비스업
663,일성신약,003120,의약품 제조업
664,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업"
665,제이준코스메틱,025620,기타 화학제품 제조업
666,조비,001550,"비료, 농약 및 살균, 살충제 제조업"
667,조선선재,120030,기타 금속 가공제품 제조업
668,종근당바이오,063160,의약품 제조업
669,지누스,013890,가구 제조업
670,진양화학,051630,플라스틱제품 제조업
671,케이씨티시,009070,도로 화물 운송업
672,케이탑리츠,145270,부동산 임대 및 공급업
673,코스모신소재,005070,기타 화학제품 제조업
674,쿠쿠홈시스,284740,개인 및 가정용품 임대업
675,키위미디어그룹,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업"
676,태평양물산,007980,봉제의복 제조업
677,테이팩스,055490,플라스틱제품 제조업
678,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
679,티와이홀딩스,363280,기타 금융업
680,팜스코,036580,"곡물가공품, 전분 및 전분제품 제조업"
681,퍼시스,016800,가구 제조업
682,풍산홀딩스,005810,기타 금융업
683,하이스틸,071090,1차 철강 제조업
684,하이트진로,000080,알코올음료 제조업
685,한국석유공업,004090,기타 비금속 광물제품 제조업
686,한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업"
687,한국자산신탁,123890,신탁업 및 집합투자업
688,한국주강,025890,특수 목적용 기계 제조업
689,한국콜마홀딩스,024720,기타 금융업
690,한국항공우주,047810,"항공기,우주선 및 부품 제조업"
691,한라홀딩스,060980,기타 금융업
692,한미사이언스,008930,기타 금융업
693,한샘,009240,생활용품 도매업
694,한솔홀딩스,004150,기타 금융업
695,한신기계공업,011700,일반 목적용 기계 제조업
696,한화,000880,기타 화학제품 제조업
697,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업"
698,현대자동차,005380,자동차용 엔진 및 자동차 제조업
699,현대퓨처넷,126560,텔레비전 방송업
700,효성 ITX,094280,기타 사업지원 서비스업
701,휴니드테크놀러지스,005870,통신 및 방송 장비 제조업
702,EMW,079190,통신 및 방송 장비 제조업
703,JTC,950170,종합 소매업
704,KCC건설,021320,건물 건설업
705,KCI,036670,기타 화학제품 제조업
706,KD,044180,건물 건설업
707,KG ETS,151860,폐기물 처리업
708,KG모빌리언스,046440,소프트웨어 개발 및 공급업
709,NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업"
710,SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업
711,SGA솔루션즈,184230,소프트웨어 개발 및 공급업
712,SM Life Design,063440,기록매체 복제업
713,W홀딩컴퍼니,052300,기타 운송관련 서비스업
714,교보9호스팩,331520,금융 지원 서비스업
715,국전약품,307750,의약품 제조업
716,나노신소재,121600,기타 화학제품 제조업
717,나인테크,267320,특수 목적용 기계 제조업
718,네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업"
719,넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
720,넥슨지티,041140,소프트웨어 개발 및 공급업
721,노터스,278650,자연과학 및 공학 연구개발업
722,누리플랜,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업"
723,뉴로스,126870,일반 목적용 기계 제조업
724,뉴프라이드,900100,자동차 부품 및 내장품 판매업
725,다산네트웍스,039560,통신 및 방송 장비 제조업
726,다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
727,대명소노시즌,007720,상품 종합 도매업
728,대성미생물,036480,의약품 제조업
729,대원산업,005710,자동차 신품 부품 제조업
730,더블유에스아이,299170,생활용품 도매업
731,덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업"
732,덴티스,261200,의료용 기기 제조업
733,동신건설,025950,토목 건설업
734,동일기연,032960,전자부품 제조업
735,듀오백,073190,가구 제조업
736,드림어스컴퍼니,060570,기타 전문 도매업
737,디지아이,043360,컴퓨터 및 주변장치 제조업
738,디지털대성,068930,일반 교습 학원
739,디티앤씨,187220,기타 과학기술 서비스업
740,라이브플렉스,050120,생활용품 도매업
741,램테크놀러지,171010,기초 화학물질 제조업
742,레고켐바이오,141080,자연과학 및 공학 연구개발업
743,레몬,294140,화학섬유 제조업
744,로보스타,090360,특수 목적용 기계 제조업
745,리드코프,012700,기타 전문 도매업
746,메디콕스,054180,선박 및 보트 건조업
747,메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업
748,미래컴퍼니,049950,특수 목적용 기계 제조업
749,바이브컴퍼니,301300,소프트웨어 개발 및 공급업
750,바이오니아,064550,의료용품 및 기타 의약 관련제품 제조업
751,베뉴지,019010,종합 소매업
752,베셀,177350,특수 목적용 기계 제조업
753,보라티알,250000,음·식료품 및 담배 도매업
754,부방,014470,기타 금융업
755,브리지텍,064480,소프트웨어 개발 및 공급업
756,삼진엘앤디,054090,그외 기타 제품 제조업
757,삼천리자전거,024950,생활용품 도매업
758,삼현철강,017480,1차 철강 제조업
759,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업"
760,서진오토모티브,122690,자동차 신품 부품 제조업
761,성우테크론,045300,전자부품 제조업
762,성우하이텍,015750,자동차 신품 부품 제조업
763,세운메디칼,100700,의료용품 및 기타 의약 관련제품 제조업
764,세종텔레콤,036630,전기 통신업
765,솔고바이오,043100,의료용 기기 제조업
766,솔본,035610,회사 본부 및 경영 컨설팅 서비스업
767,수산아이앤티,050960,소프트웨어 개발 및 공급업
768,슈펙스비앤피,058530,생활용품 도매업
769,슈피겐코리아,192440,그외 기타 제품 제조업
770,스카이이앤엠,131100,상품 종합 도매업
771,스킨앤스킨,159910,기타 화학제품 제조업
772,시공테크,020710,전문디자인업
773,시그네틱스,033170,반도체 제조업
774,시큐브,131090,소프트웨어 개발 및 공급업
775,신도기연,290520,특수 목적용 기계 제조업
776,신테카바이오,226330,소프트웨어 개발 및 공급업
777,실리콘웍스,108320,반도체 제조업
778,쎄노텍,222420,기타 비금속 광물제품 제조업
779,쎄미시스코,136510,특수 목적용 기계 제조업
780,쎄트렉아이,099320,"항공기,우주선 및 부품 제조업"
781,씨엠에스에듀,225330,일반 교습 학원
782,씨큐브,101240,기초 화학물질 제조업
783,아비코전자,036010,전자부품 제조업
784,아이디피,332370,컴퓨터 및 주변장치 제조업
785,아이톡시,052770,소프트웨어 개발 및 공급업
786,아진산업,013310,자동차 신품 부품 제조업
787,아프리카TV,067160,소프트웨어 개발 및 공급업
788,알체라,347860,소프트웨어 개발 및 공급업
789,알티캐스트,085810,소프트웨어 개발 및 공급업
790,애니젠,196300,기초 의약물질 및 생물학적 제제 제조업
791,액션스퀘어,205500,소프트웨어 개발 및 공급업
792,앤디포스,238090,플라스틱제품 제조업
793,앱클론,174900,의료용품 및 기타 의약 관련제품 제조업
794,에스와이,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업"
795,에스트래픽,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
796,에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
797,에이디칩스,054630,그외 기타 제품 제조업
798,에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업
799,에이스침대,003800,가구 제조업
800,에이아이비트,039230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
801,에이텍티앤,224110,통신 및 방송 장비 제조업
802,에이팸,073070,자동차 신품 부품 제조업
803,엑셈,205100,소프트웨어 개발 및 공급업
804,엔브이에이치코리아,067570,자동차 신품 부품 제조업
805,엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업
806,엔케이맥스,182400,기초 의약물질 및 생물학적 제제 제조업
807,엔텔스,069410,소프트웨어 개발 및 공급업
808,엘디티,096870,반도체 제조업
809,엘컴텍,037950,전자부품 제조업
810,영림원소프트랩,060850,소프트웨어 개발 및 공급업
811,예스티,122640,특수 목적용 기계 제조업
812,오스테오닉,226400,의료용 기기 제조업
813,오텍,067170,자동차 재제조 부품 제조업
814,와이즈버즈,273060,광고업
815,원익머트리얼즈,104830,기초 화학물질 제조업
816,원풍,008370,플라스틱제품 제조업
817,웹젠,069080,소프트웨어 개발 및 공급업
818,위닉스,044340,가정용 기기 제조업
819,위메이드,112040,소프트웨어 개발 및 공급업
820,유비벨록스,089850,소프트웨어 개발 및 공급업
821,유비쿼스,264450,통신 및 방송 장비 제조업
822,유안타제4호스팩,313750,금융 지원 서비스업
823,유진테크,084370,특수 목적용 기계 제조업
824,이건홀딩스,039020,제재 및 목재 가공업
825,이노와이어리스,073490,통신 및 방송 장비 제조업
826,이녹스첨단소재,272290,전자부품 제조업
827,이랜텍,054210,전자부품 제조업
828,이미지스,115610,반도체 제조업
829,이수앱지스,086890,의료용품 및 기타 의약 관련제품 제조업
830,인산가,277410,기타 식품 제조업
831,인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
832,인탑스,049070,통신 및 방송 장비 제조업
833,인터파크,035080,무점포 소매업
834,인텔리안테크,189300,통신 및 방송 장비 제조업
835,재영솔루텍,049630,사진장비 및 광학기기 제조업
836,제낙스,065620,1차 철강 제조업
837,제이앤티씨,204270,전자부품 제조업
838,제이티,089790,특수 목적용 기계 제조업
839,지더블유바이텍,036180,기계장비 및 관련 물품 도매업
840,진바이오텍,086060,동물용 사료 및 조제식품 제조업
841,진성티이씨,036890,특수 목적용 기계 제조업
842,카이노스메드,284620,자연과학 및 공학 연구개발업
843,캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업"
844,캔서롭,180400,기타 과학기술 서비스업
845,캠시스,050110,전자부품 제조업
846,케이비제18호스팩,323940,금융 지원 서비스업
847,케이엠더블유,032500,통신 및 방송 장비 제조업
848,케이피에프,024880,기타 금속 가공제품 제조업
849,코닉글로리,094860,소프트웨어 개발 및 공급업
850,코드네이처,078940,전기 및 통신 공사업
851,코디엠,224060,특수 목적용 기계 제조업
852,코리아에셋투자증권,190650,기타 금융업
853,코미코,183300,특수 목적용 기계 제조업
854,코스나인,082660,통신 및 방송 장비 제조업
855,큐브앤컴퍼니,043090,기타 전문 도매업
856,키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업"
857,탑엔지니어링,065130,특수 목적용 기계 제조업
858,태웅로직스,124560,기타 운송관련 서비스업
859,텔콘RF제약,200230,통신 및 방송 장비 제조업
860,토비스,051360,영상 및 음향기기 제조업
861,티라유텍,322180,소프트웨어 개발 및 공급업
862,티엘비,356860,전자부품 제조업
863,파라다이스,034230,유원지 및 기타 오락관련 서비스업
864,파버나인,177830,전자부품 제조업
865,파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
866,팍스넷,038160,기타 정보 서비스업
867,판타지오,032800,창작 및 예술관련 서비스업
868,프로텍,053610,특수 목적용 기계 제조업
869,피에스케이,319660,특수 목적용 기계 제조업
870,픽셀플러스,087600,전자부품 제조업
871,필옵틱스,161580,특수 목적용 기계 제조업
872,하나금융14호스팩,332710,금융 지원 서비스업
873,하나금융16호스팩,343510,금융 지원 서비스업
874,한국캐피탈,023760,기타 금융업
875,한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
876,해마로푸드서비스,220630,음·식료품 및 담배 도매업
877,헬릭스미스,084990,자연과학 및 공학 연구개발업
878,휴먼엔,032860,"해체, 선별 및 원료 재생업"
879,희림,037440,"건축기술, 엔지니어링 및 관련 기술 서비스업"
880,단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업
881,럭스피아,092590,반도체 제조업
882,무진메디,322970,자연과학 및 공학 연구개발업
883,미애부,225850,생활용품 도매업
884,바이오프로테크,199290,의료용 기기 제조업
885,씨앤에스링크,245450,통신 및 방송 장비 제조업
886,에스제이켐,217910,기초 화학물질 제조업
887,엠로,058970,소프트웨어 개발 및 공급업
888,이십일스토어,270020,기타 비금속 광물제품 제조업
889,이엠티,232530,일차전지 및 축전지 제조업
890,인카금융서비스,211050,보험 및 연금관련 서비스업
891,태양기계,116100,자동차 신품 부품 제조업
892,피엔아이컴퍼니,242350,"영화, 비디오물, 방송프로그램 제작 및 배급업"
893,한중엔시에스,107640,자동차 신품 부품 제조업
894,CJ대한통운,000120,도로 화물 운송업
895,DSR제강,069730,1차 철강 제조업
896,ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업
897,GKL,114090,유원지 및 기타 오락관련 서비스업
898,JW중외제약,001060,의약품 제조업
899,KPX홀딩스,092230,기초 화학물질 제조업
900,KSS해운,044450,해상 운송업
901,LF,093050,봉제의복 제조업
902,LG하우시스,108670,플라스틱제품 제조업
903,LG화학,051910,기초 화학물질 제조업
904,LIG넥스원,079550,무기 및 총포탄 제조업
905,LS,006260,기타 금융업
906,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
907,NICE,034310,회사 본부 및 경영 컨설팅 서비스업
908,NI스틸,008260,1차 철강 제조업
909,SGC에너지,005090,전기업
910,SH에너지화학,002360,기초 화학물질 제조업
911,SK증권,001510,금융 지원 서비스업
912,SK하이닉스,000660,반도체 제조업
913,경인양행,012610,기초 화학물질 제조업
914,경인전자,009140,전자부품 제조업
915,국보,001140,도로 화물 운송업
916,기신정기,092440,특수 목적용 기계 제조업
917,녹십자,006280,의약품 제조업
918,대덕,008060,기타 금융업
919,대동전자,008110,통신 및 방송 장비 제조업
920,대림비앤코,005750,"내화, 비내화 요업제품 제조업"
921,대양금속,009190,1차 철강 제조업
922,대창,012800,1차 비철금속 제조업
923,동국제강,001230,1차 철강 제조업
924,동양물산기업,002900,특수 목적용 기계 제조업
925,동화약품,000020,의약품 제조업
926,두산중공업,034020,일반 목적용 기계 제조업
927,디아이동일,001530,상품 중개업
928,디아이씨,092200,자동차 신품 부품 제조업
929,롯데관광개발,032350,여행사 및 기타 여행보조 서비스업
930,맵스리얼티1,094800,신탁업 및 집합투자업
931,명신산업,009900,자동차 신품 부품 제조업
932,무학,033920,알코올음료 제조업
933,미래아이앤지,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
934,바다로19호,155900,운송장비 임대업
935,부산주공,005030,자동차 신품 부품 제조업
936,비케이탑스,030790,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
937,사조씨푸드,014710,수산물 가공 및 저장 처리업
938,삼성물산,028260,기타 전문 도매업
939,삼성전자,005930,통신 및 방송 장비 제조업
940,삼성제약,001360,의약품 제조업
941,삼원강재,023000,자동차 신품 부품 제조업
942,삼익THK,004380,일반 목적용 기계 제조업
943,삼일제약,000520,의약품 제조업
944,삼진제약,005500,의약품 제조업
945,삼화왕관,004450,기타 금속 가공제품 제조업
946,선창산업,002820,나무제품 제조업
947,성신양회,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업"
948,세기상사,002420,"영화, 비디오물, 방송프로그램 제작 및 배급업"
949,세아특수강,019440,1차 철강 제조업
950,세우글로벌,013000,기타 전문 도매업
951,세원정공,021820,자동차 신품 부품 제조업
952,세진중공업,075580,선박 및 보트 건조업
953,세화아이엠씨,145210,특수 목적용 기계 제조업
954,셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업
955,신라교역,004970,어로 어업
956,신성통상,005390,기타 전문 도매업
957,신세계,004170,종합 소매업
958,아모레퍼시픽,090430,기타 화학제품 제조업
959,아세아,002030,회사 본부 및 경영 컨설팅 서비스업
960,아이에스동서,010780,"내화, 비내화 요업제품 제조업"
961,에스제이엠,123700,자동차 신품 부품 제조업
962,에이리츠,140910,부동산 임대 및 공급업
963,엔에스쇼핑,138250,무점포 소매업
964,엔케이,085310,"구조용 금속제품, 탱크 및 증기발생기 제조업"
965,엔피씨,004250,플라스틱제품 제조업
966,영원무역,111770,상품 종합 도매업
967,영원무역홀딩스,009970,기타 금융업
968,우리들휴브레인,118000,기계장비 및 관련 물품 도매업
969,우신시스템,017370,특수 목적용 기계 제조업
970,우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
971,우진플라임,049800,특수 목적용 기계 제조업
972,유니드,014830,기초 화학물질 제조업
973,유진증권,001200,금융 지원 서비스업
974,이건산업,008250,나무제품 제조업
975,이노션,214320,광고업
976,이연제약,102460,의약품 제조업
977,인스코비,006490,전기 통신업
978,잇츠한불,226320,기타 화학제품 제조업
979,조광페인트,004910,기타 화학제품 제조업
980,조선내화,000480,"내화, 비내화 요업제품 제조업"
981,진에어,272450,항공 여객 운송업
982,참엔지니어링,009310,특수 목적용 기계 제조업
983,케이씨씨글라스,344820,유리 및 유리제품 제조업
984,코오롱글로벌,003070,토목 건설업
985,태경케미컬,006890,기초 화학물질 제조업
986,토니모리,214420,기타 화학제품 제조업
987,페이퍼코리아,001020,"펄프, 종이 및 판지 제조업"
988,포스코,005490,1차 철강 제조업
989,폴루스바이오팜,007630,상품 중개업
990,하나제약,293480,의약품 제조업
991,한국쉘석유,002960,석유 정제품 제조업
992,한국철강,104700,1차 철강 제조업
993,한국화장품제조,003350,기타 화학제품 제조업
994,한미글로벌,053690,"건축기술, 엔지니어링 및 관련 기술 서비스업"
995,한솔피엔에스,010420,기타 전문 도매업
996,한양증권,001750,금융 지원 서비스업
997,한진중공업,097230,토목 건설업
998,한진중공업홀딩스,003480,연료용 가스 제조 및 배관공급업
999,현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1000,현대제철,004020,1차 철강 제조업
1001,황금에스티,032560,1차 비철금속 제조업
1002,DSC인베스트먼트,241520,신탁업 및 집합투자업
1003,IBKS제15호스팩,373200,금융 지원 서비스업
1004,KMH,122450,텔레비전 방송업
1005,NHN벅스,104200,소프트웨어 개발 및 공급업
1006,SDN,099220,기계장비 및 관련 물품 도매업
1007,SK4호스팩,307070,금융 지원 서비스업
1008,SK머티리얼즈,036490,기초 화학물질 제조업
1009,SNK,950180,소프트웨어 개발 및 공급업
1010,WI,073570,특수 목적용 기계 제조업
1011,가비아,079940,소프트웨어 개발 및 공급업
1012,경남스틸,039240,1차 철강 제조업
1013,국일신동,060480,1차 비철금속 제조업
1014,글로벌텍스프리,204620,금융 지원 서비스업
1015,글로본,019660,상품 종합 도매업
1016,나노,187790,기초 화학물질 제조업
1017,네오셈,253590,특수 목적용 기계 제조업
1018,네이블커뮤니케이션즈,153460,소프트웨어 개발 및 공급업
1019,넥스트BT,065170,음·식료품 및 담배 도매업
1020,노바렉스,194700,기타 식품 제조업
1021,대신밸런스제7호스팩,332290,금융 지원 서비스업
1022,대양전기공업,108380,선박 및 보트 건조업
1023,대원,007680,건물 건설업
1024,대한뉴팜,054670,의약품 제조업
1025,더블유에프엠,035290,"서적, 잡지 및 기타 인쇄물 출판업"
1026,덕산테코피아,317330,기타 화학제품 제조업
1027,덕산하이메탈,077360,반도체 제조업
1028,동국제약,086450,의약품 제조업
1029,동진쎄미켐,005290,기초 화학물질 제조업
1030,디바이스이엔지,187870,특수 목적용 기계 제조업
1031,디알젬,263690,의료용 기기 제조업
1032,디에스티,033430,특수 목적용 기계 제조업
1033,라이온켐텍,171120,기타 화학제품 제조업
1034,레이크머티리얼즈,281740,기타 화학제품 제조업
1035,레인보우로보틱스,277810,특수 목적용 기계 제조업
1036,링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1037,마이크로프랜드,147760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1038,매직마이크로,127160,전자부품 제조업
1039,메가스터디교육,215200,일반 교습 학원
1040,메드팩토,235980,자연과학 및 공학 연구개발업
1041,모헨즈,006920,"시멘트, 석회, 플라스터 및 그 제품 제조업"
1042,미코,059090,반도체 제조업
1043,민앤지,214180,기타 정보 서비스업
1044,바른손이앤에이,035620,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1045,바이온,032980,음·식료품 및 담배 도매업
1046,박셀바이오,323990,자연과학 및 공학 연구개발업
1047,베노홀딩스,206400,소프트웨어 개발 및 공급업
1048,비디아이,148140,일반 목적용 기계 제조업
1049,비보존 헬스케어,082800,반도체 제조업
1050,비에이치아이,083650,일반 목적용 기계 제조업
1051,새로닉스,042600,전자부품 제조업
1052,서연탑메탈,019770,특수 목적용 기계 제조업
1053,서울반도체,046890,반도체 제조업
1054,서울전자통신,027040,기계장비 및 관련 물품 도매업
1055,서원인텍,093920,통신 및 방송 장비 제조업
1056,선데이토즈,123420,소프트웨어 개발 및 공급업
1057,성호전자,043260,전자부품 제조업
1058,세틀뱅크,234340,기타 정보 서비스업
1059,센코,347000,전자부품 제조업
1060,슈프리마에이치큐,094840,통신 및 방송 장비 제조업
1061,스타플렉스,115570,플라스틱제품 제조업
1062,시노펙스,025320,전자부품 제조업
1063,신원종합개발,017000,건물 건설업
1064,신한제7호스팩,366330,금융 지원 서비스업
1065,신흥에스이씨,243840,일차전지 및 축전지 제조업
1066,씨앤지하이테크,264660,특수 목적용 기계 제조업
1067,씨티씨바이오,060590,의약품 제조업
1068,아스타,246720,의료용품 및 기타 의약 관련제품 제조업
1069,아시아종묘,154030,작물 재배업
1070,아우딘퓨쳐스,227610,기타 화학제품 제조업
1071,아이엘사이언스,307180,전구 및 조명장치 제조업
1072,아이진,185490,자연과학 및 공학 연구개발업
1073,아이큐어,175250,의약품 제조업
